Cochrane PubMed ID,Question,Answer,Evidence Quality,Relevant Cited PubMed IDs,Open-Access Full-text Needed,Comment
28660687,"Is the long-term rate of overall lymphocyst formation higher, lower, or the same when comparing retroperitoneal drainage to no drainage?",no difference,high,17466514,no,
28660687,"Is the short-term rate of overall lymphocyst formation higher, lower, or the same when comparing retroperitoneal drainage to no drainage?",no difference,moderate,"9190979, 12214830",no,
25734590,"Is the rate of clinician impression of cognitive change higher, lower, or the same when comparing cholinase inhibitors to placebo in patients with MS?",higher,high,"15534239, 21519001",no,
25734590,"Is the rate of patient self-reported impression of memory change higher, lower, or the same when comparing cholinase inhibitors to placebo in patients with MS?",uncertain effect,high,"15534239, 21519001",no,
27056645,"Is the number of people with at least one neoplastic lesion detected higher, lower, or the same when comparing chromoscopy to conventional endoscopy?",higher,n/a,"12196768, 16527699, 21159889, 16767577",no,
27056645,"Is total polyp detection higher, lower, or the same when comparing chromoscopy to conventional endoscopy?",higher,n/a,"12196768, 14960519, 20179689, 16527699, 21159889, 16767577, 19139000",no,
26346232,"Is stroke prevention higher, lower, or the same when comparing Transcatheter Device Closure (TDC) to medical therapy?",no difference,n/a,"22417252, 23514285, 23514286",no,
26346232,"Is the composite endpoint of recurrent stroke or TIA higher, lower, or the same when comparing Transcatheter Device Closure (TDC) to medical therapy?",no difference,n/a,"22417252, 23514285",no,
28898386,"Is the length of hospital stay higher, lower, or the same when comparing Pancreatojejunostomy (PJ) to Pancreatogastrostomy (PG)?",no difference,low,"16327486, 19092337, 7574936",no,Grendar/25799130 does not mention (16% wt) - this may bias results
28898386,"Is the overall risk of postoperative pancreatic fistula higher, lower, or the same when comparing Pancreatojejunostomy (PJ) to Pancreatogastrostomy (PG)?",no difference,low,"24467711, 16327486, 15910726, 19092337, 24264781, 25799130, 26135690, 23643139, 7574936",no,Keck 2016/26135690 (19% weight) only mentions B/C fistula -> but fulltext is available; not sure why Wellner/22744638 is excluded
36999589,"Is the breast cancer detection rate in women with dense breasts higher, lower, or the same when comparing screening with a combination of mammography and ultrasonography to screening with mammography alone?",higher,high,"34406400, 29571797, 23116728, 26549432",no,Starikov/26549432 is not helpful but weight is <20%
36999589,"Is the frequency of interval carcinoma occurence higher, lower, or the same when comparing screening with a combination of mammography and ultrasonography to screening with mammography alone?",lower,high,"34406400, 30882843",no,model should basically strictly use J-START/34406400
36999589,"Is the breast cancer detection rate higher, lower, or the same when comparing screening with a combination of mammography and ultrasonography to screening with mammography alone?",higher,high,"34406400, 29571797, 26549432, 23465737, 30882843",no,model should basically strictly use J-START/34406400
29489032,"Is food intake higher, lower, or the same when comparing grehlin to placebo?",higher,very low,15181065,no,
33215474,"Is length gain higher, lower, or the same when comparing moderate protein concentration to low protein concentration?",higher,low,"27801753, 10838460, 8906139",no,
33215474,"Is head circumference gain higher, lower, or the same when comparing moderate protein concentration to low protein concentration?",higher,very low,"27801753, 10838460, 8906139",no,
33215474,"Is weight gain higher, lower, or the same when comparing moderate protein concentration to low protein concentration?",higher,very low,"27801753, 10838460",no,not sure why Sankaran/8906139 is excluded
33215474,"Is head circumference gain higher, lower, or the same when comparing high protein concentration low protein concentration?",uncertain effect,very low,"26488118, 22301933, 22987877, 29772833, 28727654",no,
33215474,"Is length gain higher, lower, or the same when comparing high protein concentration low protein concentration?",uncertain effect,very low,"26488118, 22301933, 22987877, 29772833, 28727654",no,
31206168,"Is mortality higher, lower, or the same when comparing rapid ART to standard initiation?",lower,very low,"28742880, 27658873, 29509839, 27163694, 29136001, 29112963, 28542080",yes,Elul/29136001 does not report mortality in the abstract for some reason but carries like 20+% weight. it's only reported in a table
31206168,"Is retention in care at 12 months higher, lower, or the same when comparing rapid ART to standard initiation?",higher,low,"28742880, 29509839, 27163694, 29136001, 29112963, 28542080",yes,"Labhardt/29509839 does not discuss in abstract, but running it anyway because labhardt only has 13% weight; 27163694/Rosen requires fulltext and has 20% weight"
31206168,"Is ART uptake at 12 months higher, lower, or the same when comparing rapid ART to standard initiation?",higher,moderate,"28742880, 27658873, 29509839, 27163694",yes,"missing in Labhardt/29509839 (where we only have the abstract), but it has only 10% weight so ignoring that"
31206168,"Is viral suppression at 12 months higher, lower, or the same when comparing rapid ART to standard initiation?",higher,moderate,"28742880, 27658873, 29509839, 27163694",yes,Amanyire/27658873 requires fulltext but is 48% weight
